Timestamp,Ax,Ay,Az,P,Q,R,Phi,Theta,Psi,PosX,PosY,PosZ
12362,-18.9703,6.57308,2.70417,0.0326215,-0.0448637,-0.064676,0.0765509,-0.0883972,0.0325946,-9.85295,-0.110491,-5.46534
12500,-0.460272,-5.65142,3.01668,-0.0219899,-0.0696897,0.0262862,0.111344,-0.109466,0.0324044,0,0,0
12594,9.61449,19.7436,-12.4037,0.0701275,0.020174,-0.0582076,0.112269,-0.104212,0.034609,0,0,0
12701,3.79277,-10.3342,-25.3301,-0.0799659,-0.0200041,-0.053528,0.121604,-0.0932778,0.0308025,0,0,0
12806,9.53024,10.759,-24.2937,0.034735,0.00546674,-0.0127265,0.105578,-0.111443,0.0318338,0,0,0
12921,3.29224,12.8379,-16.4077,0.0405167,0.00133552,-0.0133015,0.0982268,-0.0836286,0.0328549,0,0,0
13035,-2.53436,10.0217,-29.1498,-0.0118321,0.0364684,-0.0326108,0.0916056,-0.0843394,0.0348615,-9.52246,-0.0901348,-5.39414
13131,19.6514,0.250862,-4.72281,0.00986763,0.0344056,0.0126466,0.0958468,-0.0513205,0.0357673,0,0,0
13238,2.20698,-9.82025,-4.05629,0.0836393,-0.0454494,0.0567489,0.109101,-0.052737,0.0365716,0,0,0
13346,-4.87576,-10.2426,2.02422,0.0308966,-0.0625188,0.046293,0.1178,-0.0327434,0.0361578,-9.2767,-0.0802234,-4.93698
13427,4.13818,-6.87948,-26.3177,0.0346499,0.0535647,-0.0305026,0.107604,-0.0343116,0.0349538,0,0,0
13529,4.15404,2.17597,-22.8178,0.0503763,0.00378313,-0.0702553,0.0996972,-0.0331724,0.0299256,-9.30868,-0.0844721,-4.9263
13635,-8.50016,5.90289,-8.33132,0.00953224,-0.0287445,-0.0315408,0.0918426,-0.0493477,0.034715,-9.20217,-0.0992072,-5.06682
13750,17.9215,12.042,-14.9807,-0.0744611,-0.0849676,0.0361192,0.0723836,-0.050446,0.0357773,-9.10661,-0.0629656,-5.08804
13871,-8.87982,4.626,-0.414817,0.0683281,0.0557977,0.00239304,0.0471151,-0.0724991,0.0357538,-9.13234,-0.0962754,-5.27342
13978,-6.63123,17.0434,-14.7195,-0.0503657,-0.0493169,0.0807432,0.0358797,-0.0733222,0.037138,-9.08206,-0.0825553,-5.27525
14082,-9.72215,1.00162,4.8185,0.0401067,-0.0540622,-0.0842675,0.0415383,-0.101851,0.03539,0,0,0
14181,-9.15939,19.8596,-27.6593,0.0746049,0.0179282,0.0671728,0.033172,-0.114143,0.0372256,0,0,0
14305,-18.9607,-4.34278,-14.0468,0.0552316,0.0436724,-0.023225,0.0300538,-0.142875,0.038648,-8.77086,-0.0661393,-5.89972
14407,7.12039,-0.535295,-13.3595,-0.00195649,0.029157,0.00060425,0.0569845,-0.145344,0.0388899,0,0,0
14508,19.4096,10.781,-15.1382,0.0794655,-0.0822152,0.0607737,0.0527301,-0.118476,0.0387012,0,0,0
14601,8.66096,-5.52568,-18.8492,-0.0781185,0.0297265,0.0815843,0.0416138,-0.127382,0.0422136,0,0,0
14715,11.3637,2.79977,-26.4105,-0.033271,0.0594641,0.0167673,0.0236632,-0.123532,0.0468056,0,0,0
14821,-3.2608,-15.1097,-23.7773,0.0309498,0.0592035,0.0684239,0.0218079,-0.0977579,0.0515198,0,0,0
14939,-13.5285,-11.7393,-23.6284,-0.0350864,0.0645264,0.0413259,0.0434554,-0.11691,0.0545772,0,0,0
15142,-12.5763,-15.6993,-4.56899,-0.0800671,0.0870561,0.030098,0.0498381,-0.138592,0.0583387,0,0,0
15248,-1.28444,-5.37553,-28.9228,0.0749935,-0.00529899,0.0658206,0.0479078,-0.131231,0.0617654,-8.46016,-0.0816773,-5.75124
15367,-2.97028,10.7517,-18.8224,0.0715969,0.0770608,-0.0286819,0.0464179,-0.127246,0.0636058,-8.40013,-0.0612847,-5.70655
15500,19.5096,-12.6292,-0.118174,-0.0332178,0.000938828,0.062802,0.023328,-0.135202,0.0703202,0,0,0
15606,5.99727,11.7808,-7.66601,0.0264832,-0.0795788,0.0643406,0.00693948,-0.119494,0.0742387,-8.36512,-0.0721935,-5.63885
15713,14.5266,-1.29948,-22.9741,-0.0578722,0.00998085,0.023784,-0.00124205,-0.112291,0.0728365,0,0,0
15817,-18.9657,-19.3103,-5.51507,-0.0864875,-0.0163617,0.0244016,0.010278,-0.0969517,0.0713262,0,0,0
15926,-13.2367,1.9953,8.06445,0.0350864,0.0152735,-0.0827183,0.0117694,-0.104277,0.0696264,0,0,0
16045,8.68167,4.67971,-27.3358,-0.0768781,-0.00937184,0.00362284,-0.00669986,-0.104162,0.0712785,0,0,0
16144,-7.54808,9.72015,-28.5456,0.0670078,-0.0108989,-0.0616947,-0.00184108,-0.0842057,0.073849,0,0,0
16242,-9.59404,-16.9066,-22.4113,0.0622803,0.00225126,-0.0769154,0.0283264,-0.0898732,0.066569,0,0,0
16357,4.50673,-13.1175,0.925559,0.0055181,-0.0640911,0.00265923,0.0578267,-0.0813418,0.0651506,0,0,0
16489,14.319,15.3563,-20.2592,-0.00786057,0.0701206,0.0803492,0.0393795,-0.0611219,0.0671537,0,0,0
16593,-2.5931,8.31385,-14.435,-0.032547,0.0869482,0.0842036,0.0580381,-0.0463365,0.0692864,0,0,0
16684,6.84688,-3.50902,-19.235,-0.0868442,-0.0837162,-0.0120397,0.0611777,-0.0482854,0.0692118,0,0,0
16801,15.9829,-14.044,-4.02943,0.00438414,-0.0592224,0.049631,0.0713123,-0.0229564,0.0703368,0,0,0
16902,-18.901,-17.9284,-7.55859,-0.00228124,0.00136943,-0.0747486,0.0626467,-0.033171,0.0688622,0,0,0
17007,1.82841,-14.835,-8.45827,0.0191204,0.0738755,0.0219899,0.0621105,-0.0221346,0.0700919,0,0,0
17098,14.8842,5.62334,-14.1311,-0.0410544,-0.078903,0.026185,0.0516814,-0.0327193,0.0725128,0,0,0
17198,4.5763,0.32899,3.36826,0.0625358,-0.00600778,-0.0794176,0.0495318,-0.0186849,0.0706211,0,0,0
